idx,local_time,epoch,gps_ok,gps_ip,gps_stratum,gps_li,gps_refid,gps_offset_ms,gps_delay_ms,gps_disp_ms,gps_error,ali_ok,ali_ip,ali_stratum,ali_li,ali_refid,ali_offset_ms,ali_delay_ms,ali_disp_ms,ali_error,diff_gps_minus_ali_ms,clock,residual_ms,pps_fresh,stratum1
1,2026-09-14T10:28:29+08:00,1789352909.891787,1,10.81.127.143,16,3,INIT,-3998341709896.1597,8.507966995239258,65535000.0,,1,203.107.6.88,2,0,0a892656,34.43348407745361,69.23937797546387,10.498046875,,-3998341709930.5933,ACQ,0,False,False
2,2026-09-14T10:28:39+08:00,1789352919.892256,1,10.81.127.143,16,3,INIT,-3998341719909.3022,32.692909240722656,65535000.0,,1,203.107.6.88,2,0,0a892656,37.54544258117676,77.73351669311523,10.5133056640625,,-3998341719946.8477,ACQ,0,False,False
3,2026-09-14T10:28:49+08:00,1789352929.892698,1,10.81.127.143,16,3,INIT,-3998341729897.637,8.41665267944336,65535000.0,,1,203.107.6.88,2,0,0a892656,26.39627456665039,43.29395294189453,10.4827880859375,,-3998341729924.0337,ACQ,0,False,False
4,2026-09-14T10:28:59+08:00,1789352939.892999,1,10.81.127.143,16,3,INIT,-3998341739897.1016,7.028341293334961,65535000.0,,1,203.107.6.88,2,0,0a892656,36.06855869293213,64.47386741638184,10.467529296875,,-3998341739933.17,ACQ,0,False,False
5,2026-09-14T10:29:09+08:00,1789352949.893430,1,10.81.127.143,16,3,INIT,-3998341749911.9995,36.09299659729004,65535000.0,,1,203.107.6.88,3,0,646b1972,111.50646209716797,217.53549575805664,10.31494140625,,-3998341750023.506,ACQ,0,False,False
6,2026-09-14T10:29:19+08:00,1789352959.893555,1,10.81.127.143,1,0,GPSS,22.95529842376709,7.829427719116211,4.9896240234375,,1,203.107.6.88,3,0,646b1972,26.763916015625,49.513816833496094,10.040283203125,,-3.80861759185791,LCK,0,True,True
7,2026-09-14T10:29:29+08:00,1789352969.893701,1,10.81.127.143,1,0,GPSS,23.98681640625,6.237030029296875,4.9896240234375,,1,203.107.6.88,2,0,0a892656,44.069766998291016,85.01672744750977,10.528564453125,,-20.082950592041016,LCK,0,True,True
8,2026-09-14T10:29:39+08:00,1789352979.893856,1,10.81.127.143,1,0,GPSS,49.6753454208374,61.93995475769043,5.9967041015625,,1,203.107.6.88,2,0,0a892656,36.90648078918457,67.69895553588867,10.5133056640625,,12.768864631652832,LCK,0,True,True
9,2026-09-14T10:29:49+08:00,1789352989.894031,1,10.81.127.143,1,0,GPSS,23.99444580078125,6.359577178955078,5.9967041015625,,1,203.107.6.88,2,0,0a892656,32.76419639587402,59.581756591796875,10.4827880859375,,-8.769750595092773,LCK,0,True,True
10,2026-09-14T10:29:59+08:00,1789352999.894571,1,10.81.127.143,1,0,GPSS,24.011731147766113,6.203413009643555,5.9967041015625,,1,203.107.6.88,3,0,646b1972,32.96470642089844,57.3267936706543,10.0555419921875,,-8.952975273132324,LCK,0,True,True
11,2026-09-14T10:30:09+08:00,1789353009.894738,1,10.81.127.143,1,0,GPSS,23.79894256591797,6.15692138671875,5.9967041015625,,1,203.107.6.88,3,0,646b1972,39.79206085205078,75.4537582397461,10.07080078125,,-15.993118286132812,LCK,0,True,True
12,2026-09-14T10:30:19+08:00,1789353019.898306,1,10.81.127.143,1,0,GPSS,22.953033447265625,8.426189422607422,5.9967041015625,,1,203.107.6.88,2,0,0a892656,12.454032897949219,61.954498291015625,10.4827880859375,,10.499000549316406,LCK,0,True,True
13,2026-09-14T10:30:29+08:00,1789353029.898659,1,10.81.127.143,1,0,GPSS,23.774147033691406,8.062362670898438,5.9967041015625,,1,203.107.6.88,2,0,0a892656,40.288448333740234,69.48375701904297,10.498046875,,-16.514301300048828,LCK,0,True,True
14,2026-09-14T10:30:39+08:00,1789353039.898834,1,10.81.127.143,1,0,GPSS,48.89571666717529,63.646554946899414,5.9967041015625,,1,203.107.6.88,2,0,0a892656,30.345797538757324,52.8867244720459,10.498046875,,18.54991912841797,LCK,0,True,True
15,2026-09-14T10:30:49+08:00,1789353049.899013,1,10.81.127.143,1,0,GPSS,41.48828983306885,41.68391227722168,5.9967041015625,,0,ntp.aliyun.com,,,,,,,timed out,,LCK,0,True,True
16,2026-09-14T10:30:59+08:00,1789353059.902864,1,10.81.127.143,1,0,GPSS,24.002909660339355,6.12950325012207,5.9967041015625,,1,203.107.6.88,2,0,0a892656,41.432857513427734,67.05141067504883,10.4827880859375,,-17.42994785308838,LCK,0,True,True
17,2026-09-14T10:31:09+08:00,1789353069.903347,1,10.81.127.143,1,0,GPSS,46.278953552246094,51.788330078125,5.9967041015625,,1,203.107.6.88,2,0,0a892656,30.0753116607666,53.011417388916016,10.5438232421875,,16.203641891479492,LCK,0,True,True
18,2026-09-14T10:31:19+08:00,1789353079.903540,1,10.81.127.143,1,0,GPSS,22.835850715637207,8.399724960327148,5.9967041015625,,1,203.107.6.88,3,0,646b1972,29.685616493225098,53.963422775268555,10.0860595703125,,-6.849765777587891,LCK,0,True,True
19,2026-09-14T10:31:29+08:00,1789353089.907575,1,10.81.127.143,1,0,GPSS,23.854732513427734,6.066322326660156,5.9967041015625,,1,203.107.6.88,3,0,646b1972,20.406484603881836,45.032501220703125,10.101318359375,,3.4482479095458984,LCK,0,True,True
20,2026-09-14T10:31:39+08:00,1789353099.907716,1,10.81.127.143,1,0,GPSS,23.76556396484375,6.0443878173828125,5.9967041015625,,1,203.107.6.88,2,0,0a892656,40.61484336853027,73.07243347167969,10.5133056640625,,-16.849279403686523,LCK,0,True,True
21,2026-09-14T10:31:49+08:00,1789353109.908017,1,10.81.127.143,1,0,GPSS,24.151325225830078,6.937503814697266,5.9967041015625,,1,203.107.6.88,2,0,0a892656,37.97304630279541,64.75043296813965,10.5133056640625,,-13.821721076965332,LCK,0,True,True
22,2026-09-14T10:31:59+08:00,1789353119.908153,1,10.81.127.143,1,0,GPSS,21.712303161621094,10.715961456298828,5.9967041015625,,1,203.107.6.88,3,0,646b1972,30.89725971221924,63.94314765930176,10.040283203125,,-9.184956550598145,LCK,0,True,True
23,2026-09-14T10:32:09+08:00,1789353129.908440,1,10.81.127.143,1,0,GPSS,22.69434928894043,11.785030364990234,5.9967041015625,,1,203.107.6.88,2,0,0a892656,34.363508224487305,55.9840202331543,10.4827880859375,,-11.669158935546875,LCK,0,True,True
24,2026-09-14T10:32:19+08:00,1789353139.910527,1,10.81.127.143,1,0,GPSS,23.886442184448242,6.196498870849609,5.9967041015625,,1,203.107.6.88,2,0,0a892656,30.631422996520996,66.5595531463623,10.4827880859375,,-6.744980812072754,LCK,0,True,True
25,2026-09-14T10:32:29+08:00,1789353149.911851,1,10.81.127.143,1,0,GPSS,23.68748188018799,6.219148635864258,5.9967041015625,,1,203.107.6.88,2,0,0a892656,31.482458114624023,72.47638702392578,10.4827880859375,,-7.794976234436035,LCK,0,True,True
26,2026-09-14T10:32:39+08:00,1789353159.912019,1,10.81.127.143,1,0,GPSS,24.960875511169434,10.942697525024414,5.9967041015625,,1,203.107.6.88,2,0,0a892656,22.865653038024902,60.58478355407715,10.498046875,,2.0952224731445312,LCK,0,True,True
27,2026-09-14T10:32:49+08:00,1789353169.912345,1,10.81.127.143,1,0,GPSS,36.1865758895874,38.507699966430664,5.9967041015625,,1,203.107.6.88,3,0,646b1972,26.166796684265137,55.61184883117676,10.040283203125,,10.019779205322266,LCK,0,True,True
28,2026-09-14T10:32:59+08:00,1789353179.912491,1,10.81.127.143,1,0,GPSS,23.920059204101562,5.810737609863281,5.9967041015625,,1,203.107.6.88,3,0,646b1972,31.727313995361328,64.22233581542969,10.0250244140625,,-7.807254791259766,LCK,0,True,True
29,2026-09-14T10:33:09+08:00,1789353189.912795,1,10.81.127.143,1,0,GPSS,25.129199028015137,12.321710586547852,5.9967041015625,,1,203.107.6.88,3,0,646b1972,21.760225296020508,46.57316207885742,10.2081298828125,,3.368973731994629,LCK,0,True,True
30,2026-09-14T10:33:19+08:00,1789353199.913701,1,10.81.127.143,1,0,GPSS,24.068236351013184,6.702184677124023,5.9967041015625,,1,203.107.6.88,3,0,646b1972,28.403759002685547,62.3164176940918,10.040283203125,,-4.335522651672363,LCK,0,True,True
31,2026-09-14T10:33:29+08:00,1789353209.915899,1,10.81.127.143,1,0,GPSS,24.31929111480713,6.318807601928711,5.9967041015625,,1,203.107.6.88,3,0,646b1972,27.34088897705078,60.843467712402344,10.040283203125,,-3.0215978622436523,LCK,0,True,True
32,2026-09-14T10:33:39+08:00,1789353219.916064,1,10.81.127.143,1,0,GPSS,26.00085735321045,10.887861251831055,5.9967041015625,,1,203.107.6.88,3,0,646b1972,25.79677104949951,50.415754318237305,10.0555419921875,,0.2040863037109375,LCK,0,True,True
33,2026-09-14T10:33:49+08:00,1789353229.916205,1,10.81.127.143,1,0,GPSS,23.783206939697266,6.430149078369141,5.9967041015625,,1,203.107.6.88,3,0,646b1972,37.50920295715332,81.82001113891602,10.0555419921875,,-13.725996017456055,LCK,0,True,True
